id,question_processed,answer_processed,dataset
10651595,why is the guadeloupe woodpecker endangered,habitat loss,paq
662753,what fruits cause bloating,"strawberries, melons, pineapple and other tropical fruits.",msmarco
5a8cd881554299441c6b9f21,what caused the plane crash that killed annette snell?,hail damage and losing thrust on both engines,hotpotqa
906067,what caused the widening of valles marineris,erosion,paq
1718912088427161051,what were three causes of the french revolution?,cultural,naturalquestions
78922,"like the moon's, the sun's gravity causes these on earth, but they're half as high due to greater distance",tides,searchqa
585838,what causes blood blisters and thin skin,it is caused due to damage to blood vessels and tissues just under the skin.,msmarco
qz_4754,the advertisement for which soft drink caused controversy in the 1990s for seemingly promoting a violent act?,tango,triviaqa
./cnn/stories/f5f6db49aae94ae2644d2886fd6b2a6d2ab24c71.story,what caused the evacuation?,a large wildfire,newsqa
707918,can having a yeast infection cause a false negative pregnancy test?,"false negative pregnancy tests are much more common than false positives. while a urinary tract infection (uti) is unlikely to cause a false negative it could do so, at least in theory. if you have a uti, see a doctor and then retake the test a few days later.",gooaq
./cnn/stories/0cf74875b9fddf7e0c96fe743d9c4f0990be02ab.story,how did the suspect escape?,"by crawling through sewer pipes,",newsqa
jp_3554,what insecticide caused a major reduction in bald eagle populations until 1972?,ddt,triviaqa
./cnn/stories/83600703ee9ef8db3cc9550f0191960da7cb5da9.story,what is the cause of so many deaths?,africa attempt to make the perilous journey across the mediterranean in overcrowded boats.,newsqa
1185802,why do cats scratch,"cats scratch to remove sloughed-off nail tips, allowing fresh nail growth to occur. and they can work out their knotted back muscles—cramped from sleeping 16 hours a day.",msmarco
./cnn/stories/a98f1a0258f641788e570264b79e5c816f80054f.story,what photos caused italians to be outraged?,bodies of two drowned roma girls,newsqa
./cnn/stories/aff495ba855150f2bb32a0950c10a270ddc5e487.story,what was a possible cause of the crash?,lightning strike,newsqa
12476350,what disease can cause a short duration of breastfeeding,undiagnosed maternal celiac disease,paq
1149217,what is the side effect of taking testosterone,"the side effects of testosterone are rash, itching, or irritation at the site where the testosterone is applied, mood swings and depression.",msmarco
4002489,why does my heel hurt?,"heel pain (plantar fasciitis) heel pain is most often caused by plantar fasciitis, a condition that is sometimes also called heel spur syndrome when a spur is present. heel pain may also be due to other causes, such as a stress fracture, tendonitis, arthritis, nerve irritation or, rarely, a cyst.",gooaq
qw_16667,"""why could a missing """"ha'porth of tar"""", in the phrase """"to spoil the ship for a ha'porth of tar"""", cause a problem?""",leave the sheep open to destructive flystrike	leave the sheep open to destructive flystrike,triviaqa
tc_2853,what kind of an organism causes a 'rust' attack on plants?,fungus,triviaqa
./cnn/stories/f05425f7ef8bfe0e0081b1b2b2c0299886c79ef3.story,who caused the evacuation?,an engine problem,newsqa
63768,can alcohol cause yeast overgrowth,"yes, alcohol can cause yeast overgrowth.",msmarco
