id,question_processed,answer_processed,dataset
442065,long term effects of diuretics,increased uric acid levels and hypokalemia.,msmarco
3973917,why are sustainable development required?,"the goal of sustainable development is to meet the needs of today, without compromising the needs of tomorrow. this means we cannot continue using current levels of resources as this will not leave enough for future generations. stabilising and reducing carbon emissions is key to living within environmental limits.",gooaq
3285718,what is the cause for yeast infection?,"an overgrowth of candida or penetration of the fungus into deeper vaginal cell layers causes the signs and symptoms of a yeast infection. overgrowth of yeast can result from: antibiotic use, which causes an imbalance in natural vaginal flora. pregnancy.",gooaq
589089,what causes jaw pain in dogs,masticatory muscle myositis,msmarco
-3069584482942864466,what does a mutation in p53 lead to?,large spectrum of cancer phenotypes,naturalquestions
214309,how did patrick swayze die?,patrick swayze died of pancreatic cancer.,msmarco
4033283,why is oktoberfest in september?,"for example, the 2019 dates are september 21–october 6. however, when oktoberfest began in 1810, it did take place entirely in october, from the 12th to the 17th. ... as the festival got longer, the starting dates were moved into september because the days were longer and the weather was warmer.",gooaq
84820,causes for elevated triglycerides,"dietary indiscretion, metabolic disease, drugs, or rare genetic mutation of an enzyme in the lipid metabolism pathway.",msmarco
3135168,what happens if you forgot your snapchat password?,"reset your password from the app open up the snapchat app, and then tap the “log in” button. next, type your username or email address, and then tap the “forgot your password” link. you'll have the choice of receiving a verification code via an sms text message to your phone or using your email address to reset it.",gooaq
943042523042217090,what causes a dead zone in the ocean?,excessive nutrient pollution from human activities coupled with other factors that deplete the oxygen,naturalquestions
-6240287284667619437,why is there no nba team in seattle?,"team relocated to oklahoma city , oklahoma , and now plays as the oklahoma city thunder",naturalquestions
45k4ky,When you stub your toe why does it take a few seconds before it starts to hurt? ,"Your brain first switches to panic mode, where it scans for more danger and tries to decide if you have to run or fight. The adrenaline suppresses the pain for a while. When you realise you only hit your toe the pain comes through.",eli5
9036790706590253990,a deficiency of thiamin causes a disorder called?,beriberi,naturalquestions
656728,what effects does ketamine have on the body,"it is dangerous to your mental and physical health and may include analgesia, anesthesia, hallucinations and changes in blood pressure.",msmarco
3993584,why do ionic compounds have high melting points compared to covalent?,"ionic compounds are formed from strong electrostatic interactions between ions, which result in higher melting points and electrical conductivity compared to covalent compounds. covalent compounds have bonds where electrons are shared between atoms.",gooaq
2992893,what causes heart palpitations during pregnancy?,"some harmless causes of heart palpitations during pregnancy include: the heart reacting to the increase in blood volume. stress and anxiety. reactions to certain food or drinks, especially those that contain caffeine.",gooaq
1621093036484494571,what was one cause of the decline of the byzantine empire?,the byzantine - arab wars,naturalquestions
2iv1zo,Why do most buses not have seatbelts? Especially school buses. ,"Because they are so big and heavy that they don't get knocked around much.  It saves time in day-to-day use, saves money, and allows easier escape in case of an emergency.",eli5
591558,what causes shiga toxin,e. coli bacteria,msmarco
1151793,what is the cause of mitochondrial disease?,mutations in either nuclear dna or mitochondrial dna can cause mitochondrial disease.,msmarco
572a50757a1753140016aea1,what can cause osmotic diarrhea in healthy people?,too much magnesium or vitamin c or undigested lactose,squad2
4056692,why tj maxx perfumes are cheap?,"tj maxx is able to keep its prices low using a number of different strategies. according to the company, much of it comes down to the way tj maxx buys its merchandise. it purchases stock from manufacturers that make too much and department stores that overbuy, and it jumps on deals at the end of the season.",gooaq
5726604ddd62a815002e8305,which war caused britain to lose some of its oldest and most populous colonies?,american war of independence,squad2
-6777100068018246408,what dose of salicylate can cause severe toxicity in a patient?,300 -- 500 mg / kg,naturalquestions
1700733897006170137,where will failure of the left ventricle cause increased pressure?,the pulmonary venous system,naturalquestions
1070603,why is it called a barred spiral galaxy,a barred spiral galaxy is a spiral galaxy with a central bar-shaped structure composed of stars.bars are found in approximately two-thirds of all spiral galaxies. bars generally affect both the motions of stars and interstellar gas within spiral galaxies and can affect spiral arms as well.,msmarco
6ilf9e,Why does water in plastic containers form bubbles on the walls?,"Water out of the tap is usually colder than the room.  As temperature goes up, gas solubility in liquids goes down.  So some of the air that's dissolved in the water comes out of solution as it comes up to room temperature.

Bubbles will form on glass container walls too, but plastics tend to be more hydrophobic, they have less affinity for water, so the air bubbles will tend to stick harder.",eli5
696171,can doing ab exercises cause stomach pain?,"after ab workouts stimulating and putting pressure on your digestive organs during ab workouts can cause intestinal issues, such as diarrhea and stomachaches. this is especially common if you're targeting your lower abdominals. allow for periods of muscle relaxation during these types of workouts.",gooaq
73568,can soap cause vaginal itching,"yes, soap can cause vaginal itching.",msmarco
6174719789292441458,what were the some of the causes for bacon's rebellion?,"the colony's dismissive policy as it related to the political challenges of its western frontier, along with other challenges including leaving bacon out of his inner circle, refusing to allow bacon to be a part of his fur trade with the indians, and doeg american indian attacks",naturalquestions
6110457643641209040,what happens if a motion for summary judgment is granted?,no trial will be necessary,naturalquestions
-8493318275388133183,the cause of water scarcity in cape town?,drought,naturalquestions
-6403129653190332303,why coal came to be the dominant fuel source during the industrial revolution?,to power steam engines,naturalquestions
570abc016d058f19001830b6,why do the constraints of constructing a flight deck affect the role of a carrier?,"they influence the weight, type, and configuration of the aircraft that may be launched",squad2
4487232698177436125,what has caused the water crisis in cape town?,drought,naturalquestions
587189,what causes dizziness and vertigo,"dizziness: inner ear disturbance, motion sickness and medication effects. sometimes it's caused by an underlying health condition, such as poor circulation, infection or injury. vertigo: inner ear infections or diseases of the ear such as benign paroxysmal positional vertigo (bppv), vestibular neuritis, and meniere's disease.",msmarco
-8414135538106739261,causes of red blood cell casts in urine?,nephritic syndromes or urinary tract injury,naturalquestions
