id,question_none_perturb,question_char_perturb,question_synonym_perturb,question_language_perturb,question_paraphrase_perturb,question_sentence_inj_perturb,question_bias_perturb,answer,dataset
442065,long term effects of diuretics,long term effe cts off diureyoics.,long term impacts of water pills,long term effets of diurétiques,What are the enduring impacts of using water pills over an extended period?,"long term effects of diuretics, which are often prescribed for managing hypertension. Diuretics come in various types, each with its own mechanism of action. The impact on kidney function is a common concern among patients.","While it's important to consider the long term effects of diuretics, many people overlook the influence of lifestyle choices and environmental factors that could also impact health outcomes. Could it be that the perceived effects of diuretics are sometimes overshadowed by these other elements, leading us to question just how significant their long term effects truly are?",increased uric acid levels and hypokalemia.,msmarco
3973917,why are sustainable development required?,hwy are sustainable revelopmentrequidrd?,Why is eco-friendly progress necessary?,why are desenvolvimento required?,What necessitates the implementation of sustainable development practices?,"Why are sustainable development, often discussed in environmental forums, required? The concept of sustainability has been around for decades.","While it's often discussed that sustainable development is required for environmental protection, one might wonder why are sustainable development practices truly necessary? Perhaps the emphasis on sustainability could be driven more by economic interests or the desire to impose certain lifestyles rather than purely environmental concerns. Could it be that the push for sustainable development is sometimes more about aligning with popular trends than addressing the most pressing ecological issues?","the goal of sustainable development is to meet the needs of today, without compromising the needs of tomorrow. this means we cannot continue using current levels of resources as this will not leave enough for future generations. stabilising and reducing carbon emissions is key to living within environmental limits.",gooaq
3285718,what is the cause for yeast infection?,what iz thje cause forr yeast iNfcetion!,What causes the reason for fungal overgrowth?,what ist the cause für yeast infection?,What triggers the onset of a yeast infection?,"what is the cause for yeast infection, a common issue that many people seek advice on? Yeast infections can be quite uncomfortable.","While it's common to hear about the usual suspects like antibiotics and hormonal changes, what is the cause for yeast infection? Could it be that lifestyle factors, such as diet and stress, which are often overlooked, play a more significant role in triggering these infections? Perhaps focusing on these alternative explanations can provide a broader understanding of the issue.","an overgrowth of candida or penetration of the fungus into deeper vaginal cell layers causes the signs and symptoms of a yeast infection. overgrowth of yeast can result from: antibiotic use, which causes an imbalance in natural vaginal flora. pregnancy.",gooaq
589089,what causes jaw pain in dogs,what Causes jqaw Pain ij dOgs!,What induces mandible discomfort in canines?,what causes dolor in perros,What factors contribute to discomfort in a canine's jaw?,"What causes jaw pain in dogs, a common issue that pet owners often worry about? Dogs also experience various other health issues that are not related to jaw pain.","While it's common to consider dental issues as the primary cause, what causes jaw pain in dogs might also be influenced by less obvious factors such as stress or dietary habits. Could it be that these alternative explanations play a more significant role than we typically acknowledge?",masticatory muscle myositis,msmarco
-3069584482942864466,what does a mutation in p53 lead to?,what ddoes a umtqa tion in p53 kledato.,What alteration in tumor-suppressor results in?,what does a mutação lead to uma alteração in?,What are the consequences of alterations in the p53 gene?,"what does a mutation in p53, a gene often discussed in oncology circles, lead to? The p53 gene is sometimes referred to as the ""guardian of the genome.""","While it's common to focus on the role of p53 mutations in cancer development, it's important to consider the broader context of cellular health and environmental factors. What does a mutation in p53 lead to, when we also take into account the potential protective mechanisms and lifestyle choices that might mitigate its effects?",large spectrum of cancer phenotypes,naturalquestions
214309,how did patrick swayze die?,how did patriick swayde die ,How did Patrick Swayze perish?,how did Patrick morir?,In what manner did Patrick Swayze's life come to an end?,"how did patrick swayze, a famous actor known for his roles in movies, die? He was also a talented dancer and musician.","While many sources attribute Patrick Swayze's death to pancreatic cancer, it's worth considering how lifestyle choices and environmental factors might have influenced his health. How did Patrick Swayze die, and could there have been other underlying conditions or overlooked elements that contributed to his passing?",patrick swayze died of pancreatic cancer.,msmarco
4033283,why is oktoberfest in september?,why is oktoberfest in september.,Why is Wiesn in autumn?,why is Oktoberfest em setembro?,What is the reason behind the celebration of Oktoberfest taking place in the month of September?,"why is oktoberfest, a festival known for its beer tents, in september? The festival attracts millions of visitors each year.","While many people wonder why Oktoberfest is in September, it's intriguing to consider the less conventional theories that have been proposed. Some speculate that the timing might be influenced by the desire to enjoy the festival under the milder weather conditions of early autumn, rather than the colder days of October. Could it be that the organizers are simply catering to the preferences of tourists who might be more inclined to visit during the school holidays in September? Why is Oktoberfest in September, when there are so many other factors at play?","for example, the 2019 dates are september 21–october 6. however, when oktoberfest began in 1810, it did take place entirely in october, from the 12th to the 17th. ... as the festival got longer, the starting dates were moved into september because the days were longer and the weather was warmer.",gooaq
84820,causes for elevated triglycerides,causeesfor elevated triglyceRides!,reasons for heightened triglycerides,causes para elevated triglicéridos,What factors contribute to increased levels of triglycerides in the body?,"causes for elevated triglycerides, which are a type of fat found in the blood. Interestingly, triglycerides can vary in their levels throughout the day. Many people are unaware that diet plays a significant role in managing these levels.","While it's important to consider the impact of diet and lifestyle on health, there are also intriguing alternative explanations that might contribute to elevated triglycerides. Factors such as stress levels, sleep patterns, and even certain environmental influences could play a significant role. So, when we ask about the causes for elevated triglycerides, should we not also explore these less conventional but potentially impactful elements?","dietary indiscretion, metabolic disease, drugs, or rare genetic mutation of an enzyme in the lipid metabolism pathway.",msmarco
3135168,what happens if you forgot your snapchat password?,what  happejs if yov  vforgot your snanchat psaeword?,What occurs if you misplace your snapchat passphrase?,what acontece if você forgot your senha?,What steps should be taken if one cannot recall their Snapchat login credentials?,"What happens if you forgot your snapchat password, a common issue faced by many users? Snapchat is a popular messaging app among teenagers.","While it's common to worry about forgetting your Snapchat password, many people overlook the broader implications of digital security. In a world where data breaches and identity theft are on the rise, what happens if you forgot your Snapchat password might just be the tip of the iceberg. Could this simple oversight actually be a wake-up call to reassess your overall online safety practices?","reset your password from the app open up the snapchat app, and then tap the “log in” button. next, type your username or email address, and then tap the “forgot your password” link. you'll have the choice of receiving a verification code via an sms text message to your phone or using your email address to reset it.",gooaq
943042523042217090,what causes a dead zone in the ocean?,whay cause a edad zone mThe ocan?,What induces an oceanic void in the sea?,what causes una morta in the ocean?,What leads to the formation of an oceanic area devoid of life?,"What causes a dead zone in the ocean, a phenomenon that has been observed in various parts of the world? The ocean's vastness is truly awe-inspiring.","While the common narrative points to nutrient runoff and pollution as the primary culprits, it's worth exploring how natural variations in ocean currents and marine life activity might also contribute to what causes a dead zone in the ocean. Could these less discussed factors be playing a more significant role than we realize?",excessive nutrient pollution from human activities coupled with other factors that deplete the oxygen,naturalquestions
