id,question_processed,answer_processed,dataset
601246,what could be causes of light sensitivity to eyes,"iritis, uveitis, and keratitis.",msmarco
665994,what happens if you are pregnant and start taking birth control pills,"if you use birth control pills while you are pregnant, the pill will not cause a miscarriage or termination. the hormones in the pill work to prevent pregnancy by stopping ovulation or by causing the thickening of your cervical mucus. so they have no affect on a developing baby. this is especially true if you have been using birth control pills early in your pregnancy. but, if you have an iud and become pregnant, you may be at risk for certain pregnancy complications.",msmarco
bqqjhw,why do computers use RGB rather than RYB to make all the colors? ,"Because red, yellow, and blue aren't the primary colours of light.

Our eyes detect basically three wavelengths of light: red, green (slightly more on the yellow side of green, but still green), and blue.  All the light that we can see is caused by the three types of cells responding to those three colours of light.  If the light is bright yellow, then both the red and the green detecting cells will react, since it's close enough to their detection that they activate but don't activate as strongly as if it was red light or green light.

Red (actually, magenta), yellow, and blue (actually cyan) are the primary *pigment* colours, because each absorbs a single colour of those three, so that mixing them produces a new colour. For example, magenta light absorbs green light but reflects red and blue light.  Meanwhile, yellow absorbs blue light and reflects red and green light.  If you mix yellow pigment and magenta pigment together, you end up with something that absorbs both blue and green light, which means it only reflects red light, so it appears red.",eli5
85080,causes for twitching upper lip,"injury, irritation, stress and intake of caffeine & alcohol.",msmarco
705496,can furosemide cause weight gain?,"if you're taking furosemide for high blood pressure or oedema (a build up of fluid), you may lose a bit of weight as your body loses water. but do not take furosemide specifically to lose weight. only take furosemide if it's been prescribed, and only for the reason your doctor has prescribed it for you.",gooaq
573054172461fd1900a9cd30,how many yellow cards lead to a red card?,a second,squad2
-6162061123691131946,if you dial 911 in uk what happens?,transferred to the 999 call system,naturalquestions
4023750,why is genetic diversity important in a species?,"genetic diversity serves as a way for populations to adapt to changing environments. with more variation, it is more likely that some individuals in a population will possess variations of alleles that are suited for the environment. those individuals are more likely to survive to produce offspring bearing that allele.",gooaq
bir7ev,Why do dimes have the little ridges all along the side? ,"Back when coins were made of precious metals, some people would shave tiny bits off the sides of the coins.  They would then melt down the metal and sell it.  The tiny ridges allow you to verify that the entire coin is there.",eli5
601388,what could cause pain in tailbone area,"coccydynia including sciatica, infection, pilonidal cysts, sacroiliitis, and fractured bone.",msmarco
4tira7,"Why is the texture of ice sometimes ""sticky"" ","If you have any liquid on your fingers when you touch ice, the ice can freeze that liquid very quickly, which makes it stick to your finger a little.",eli5
572f4f1ba23a5019007fc50e,why did flowering plants develop numerous morphological and physiological mechanisms?,reduce or prevent self-fertilization,squad2
57305ba3396df919000960ae,what was a primary cause of the modification of roman architectural elements?,urban requirements changed,squad2
611816419655141422,why did britain made australia a penal colony?,seeking to pre-empt the french colonial empire from expanding into the region,naturalquestions
-3438259129923724201,what were the cause of the american civil war?,conflicts over slavery,naturalquestions
3981827,why bf3 acts as lewis acid?,bf3 acts as a lewis acid when it accepts the lone pair of electrons that nh3 donates.,gooaq
